root,expiration,strike,right,ms_of_day,open_interest,date
SPXW,20240510,1400000,C,23408380,6,20240509
SPXW,20240510,1400000,P,23435192,0,20240509
SPXW,20240510,1600000,C,23405104,0,20240509
SPXW,20240510,1600000,P,23417101,0,20240509
SPXW,20240510,1800000,C,23423169,0,20240509
SPXW,20240510,1800000,P,23429181,0,20240509
SPXW,20240510,2000000,C,23411132,0,20240509
SPXW,20240510,2000000,P,23432498,149,20240509
SPXW,20240510,2200000,C,23435233,0,20240509
SPXW,20240510,2200000,P,23402344,14,20240509
SPXW,20240510,2400000,C,23405151,0,20240509
SPXW,20240510,2400000,P,23414479,13,20240509
SPXW,20240510,2600000,C,23417118,0,20240509
SPXW,20240510,2600000,P,23420425,106,20240509
SPXW,20240510,2800000,C,23423140,0,20240509
SPXW,20240510,2800000,P,23426427,63,20240509
SPXW,20240510,3000000,C,23429266,0,20240509
SPXW,20240510,3000000,P,23408397,892,20240509
SPXW,20240510,3200000,C,23432478,5,20240509
SPXW,20240510,3200000,P,23402331,1493,20240509
SPXW,20240510,3400000,C,23411192,0,20240509
SPXW,20240510,3400000,P,23414366,2809,20240509
SPXW,20240510,3500000,C,23402720,1,20240509
SPXW,20240510,3500000,P,23414707,630,20240509
SPXW,20240510,3600000,C,23435162,0,20240509
SPXW,20240510,3600000,P,23420540,811,20240509
SPXW,20240510,3700000,C,23423426,0,20240509
SPXW,20240510,3700000,P,23420797,3022,20240509
SPXW,20240510,3800000,C,23405182,0,20240509
SPXW,20240510,3800000,P,23426508,7528,20240509
SPXW,20240510,3850000,C,23430462,0,20240509
SPXW,20240510,3850000,P,23409947,100,20240509
SPXW,20240510,3900000,C,23402387,2,20240509
SPXW,20240510,3900000,P,23432467,4238,20240509
SPXW,20240510,3950000,C,23414363,2,20240509
SPXW,20240510,3950000,P,23420435,7172,20240509
SPXW,20240510,4000000,C,23426405,4731,20240509
SPXW,20240510,4000000,P,23408362,12689,20240509
SPXW,20240510,4050000,C,23423159,0,20240509
SPXW,20240510,4050000,P,23408466,5077,20240509
SPXW,20240510,4100000,C,23429191,0,20240509
SPXW,20240510,4100000,P,23432542,3929,20240509
SPXW,20240510,4150000,C,23402389,17,20240509
SPXW,20240510,4150000,P,23414393,22142,20240509
SPXW,20240510,4200000,C,23411114,0,20240509
SPXW,20240510,4200000,P,23420457,10171,20240509
SPXW,20240510,4225000,C,23424402,0,20240509
SPXW,20240510,4225000,P,23421999,386,20240509
SPXW,20240510,4250000,C,23426442,3,20240509
SPXW,20240510,4250000,P,23408372,4198,20240509
SPXW,20240510,4275000,C,23424032,0,20240509
SPXW,20240510,4275000,P,23403621,1022,20240509
SPXW,20240510,4300000,C,23432455,306,20240509
SPXW,20240510,4300000,P,23402417,7176,20240509
SPXW,20240510,4325000,C,23423848,0,20240509
SPXW,20240510,4325000,P,23433469,1791,20240509
SPXW,20240510,4350000,C,23414376,2,20240509
SPXW,20240510,4350000,P,23420550,11909,20240509
